Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Tari Eason 23 HOU PF 24 0.0 546.0 20.2 0.557 0.33 0.222 9.6 19.6 14.5 6.8 4.1 4.0 7.6 19.8 0.9 1.4 2.3 0.204 1.6 3.7 5.3 1.0
Maxi Kleber 33 DAL PF 26 4.0 504.0 4.9 0.491 0.443 0.23 3.7 13.4 8.7 6.4 0.7 2.1 21.1 7.2 -0.1 0.4 0.4 0.033 -4.6 0.5 -4.1 -0.3
Aaron Gordon 29 DEN PF 17 16.0 489.0 16.2 0.635 0.323 0.419 7.4 14.2 10.9 13.9 0.8 0.6 11.1 17.8 1.2 0.3 1.4 0.139 2.0 -1.1 0.8 0.3
Kyle Kuzma 29 WAS PF 18 16.0 480.0 11.0 0.502 0.313 0.171 2.4 18.7 10.5 12.8 1.1 0.8 13.1 27.0 -0.8 0.1 -0.7 -0.068 -2.9 -2.4 -5.3 -0.4
KJ Martin 24 PHI PF 24 7.0 480.0 12.6 0.689 0.212 0.293 4.8 12.9 8.7 6.0 1.1 3.4 9.7 11.3 0.9 0.4 1.3 0.132 -1.9 0.4 -1.5 0.1
Grant Williams 26 CHO PF 16 7.0 479.0 11.7 0.596 0.602 0.301 3.9 14.8 9.2 11.4 1.8 2.7 16.7 14.7 0.4 0.5 0.9 0.086 -2.1 0.6 -1.5 0.1
Oso Ighodaro 22 PHO PF 29 2.0 465.0 10.5 0.582 0.011 0.218 7.3 18.5 13.0 8.6 1.4 2.0 15.9 10.8 0.4 0.3 0.7 0.072 -3.1 0.1 -3.0 -0.1
Kyle Anderson 31 GSW PF 31 2.0 459.0 14.7 0.505 0.326 0.167 5.1 16.7 10.7 21.2 2.5 3.5 9.9 15.6 0.5 0.7 1.2 0.125 -0.4 2.3 1.9 0.5
Kenrich Williams 30 OKC PF 26 0.0 344.0 18.3 0.684 0.5 0.127 6.9 16.1 11.5 10.5 2.4 1.2 7.9 15.7 1.0 0.7 1.7 0.235 1.8 1.8 3.5 0.5
Precious Achiuwa 25 NYK PF 17 1.0 319.0 13.9 0.563 0.184 0.276 11.5 24.1 18.0 6.4 1.6 3.6 15.8 13.9 0.3 0.4 0.7 0.106 -1.4 -0.2 -1.6 0.0
David Roddy 23 ATL PF 21 1.0 271.0 13.7 0.714 0.5 0.229 2.3 17.0 9.5 11.5 1.5 1.4 18.1 14.1 0.4 0.2 0.6 0.098 -0.1 -0.3 -0.4 0.1
Jordan Walsh 20 BOS PF 26 1.0 229.0 6.4 0.438 0.681 0.213 5.2 10.5 7.8 4.4 1.5 3.2 12.0 11.0 -0.1 0.3 0.2 0.037 -4.4 0.4 -4.0 -0.1
Hunter Tyson 24 DEN PF 26 0.0 219.0 7.7 0.561 0.565 0.326 4.6 15.4 10.2 6.0 0.9 1.6 14.6 11.9 0.1 0.1 0.2 0.054 -4.2 -1.1 -5.3 -0.2
Zion Williamson 24 NOP PF 7 7.0 214.0 20.5 0.529 0.067 0.58 9.7 18.2 13.7 29.9 1.6 3.5 14.8 34.5 0.0 0.1 0.2 0.035 1.1 -0.9 0.2 0.1
Trendon Watford 24 BRK PF 13 0.0 209.0 12.1 0.572 0.329 0.443 2.2 18.6 10.1 11.6 1.2 2.0 14.5 23.3 0.0 0.1 0.2 0.042 -3.8 -0.8 -4.6 -0.1
Ousmane Dieng 21 OKC PF 20 0.0 204.0 9.7 0.415 0.585 0.169 4.7 19.5 12.2 8.6 3.1 2.0 6.7 15.7 -0.2 0.5 0.3 0.08 -4.2 1.9 -2.3 0.0
Sandro Mamukelashvili 25 SAS PF 22 0.0 198.0 17.8 0.688 0.672 0.281 6.5 24.7 15.7 6.1 1.0 2.7 11.1 17.5 0.4 0.3 0.6 0.155 2.4 0.0 2.4 0.2
Olivier-Maxence Prosper 22 DAL PF 27 0.0 190.0 13.5 0.455 0.291 0.455 12.2 16.6 14.5 9.5 2.3 0.9 5.7 15.7 0.2 0.2 0.4 0.105 -0.7 -0.3 -1.1 0.0
Kevin Love 36 MIA PF 16 5.0 183.0 17.1 0.478 0.549 0.209 10.2 32.3 21.4 16.3 3.5 1.0 11.6 27.1 -0.1 0.4 0.3 0.074 -0.3 0.5 0.3 0.1
Paolo Banchero 22 ORL PF 5 5.0 182.0 25.4 0.59 0.33 0.608 7.3 21.4 14.1 29.3 0.8 2.1 8.2 32.1 0.6 0.3 0.8 0.222 6.0 0.8 6.8 0.4
Isaac Jones 24 SAC PF 21 0.0 173.0 13.5 0.669 0.083 0.417 6.5 13.7 10.0 3.3 0.6 4.6 16.2 16.8 0.2 0.1 0.3 0.087 -2.7 -0.7 -3.4 -0.1
Anthony Gill 32 WAS PF 25 0.0 165.0 9.7 0.577 0.368 0.474 3.8 13.3 8.5 5.0 1.7 0.6 11.6 13.1 0.1 0.0 0.1 0.032 -2.9 -0.9 -3.7 -0.1
Enrique Freeman 24 IND PF 18 1.0 135.0 6.0 0.521 0.24 0.52 4.3 10.7 7.5 6.4 0.7 1.4 14.0 11.5 0.0 0.0 0.0 0.015 -5.2 -1.8 -7.0 -0.2
Drew Peterson 25 BOS PF 11 0.0 109.0 12.6 0.698 0.773 0.318 5.0 18.0 11.5 9.6 0.9 1.7 16.6 11.9 0.2 0.1 0.3 0.15 -0.4 1.5 1.2 0.1
Jaylin Williams 22 OKC PF 9 0.0 107.0 14.7 0.578 0.906 0.0 5.0 22.5 13.9 21.7 0.9 1.9 11.1 14.4 0.2 0.2 0.4 0.186 2.2 2.1 4.3 0.2
Tristan Thompson 33 CLE PF 15 0.0 102.0 8.1 0.432 0.033 0.533 9.9 28.3 19.4 4.9 0.0 3.5 13.9 18.1 -0.2 0.1 0.0 -0.005 -6.6 -2.2 -8.7 -0.2
Zeke Nnaji 24 DEN PF 21 0.0 97.0 3.3 0.401 0.31 0.172 2.3 5.4 3.9 5.1 0.5 1.9 6.0 14.4 -0.1 0.0 -0.1 -0.054 -7.0 -2.5 -9.5 -0.2
Jeff Green 38 HOU PF 11 1.0 94.0 11.2 0.649 0.6 0.32 1.1 13.7 7.3 1.5 1.6 0.0 9.5 13.8 0.1 0.1 0.3 0.133 -2.4 0.4 -2.0 0.0
Gui Santos 22 GSW PF 13 0.0 88.0 7.7 0.554 0.789 0.211 6.9 13.5 10.1 11.9 1.6 2.2 27.8 13.7 -0.1 0.1 0.1 0.029 -4.9 0.0 -4.8 -0.1
Kobe Brown 25 LAC PF 11 0.0 84.0 15.6 0.567 0.267 0.133 7.9 26.6 17.2 11.0 0.6 0.0 3.1 16.8 0.2 0.1 0.3 0.156 0.7 -0.5 0.2 0.0
Taylor Hendricks 21 UTA PF 3 3.0 75.0 7.3 0.354 0.667 0.222 7.5 14.4 11.0 3.5 3.2 5.0 9.2 12.2 -0.1 0.1 0.0 -0.001 -4.4 1.2 -3.2 0.0
Richaun Holmes 31 WAS PF 6 0.0 53.0 11.8 0.49 0.071 0.214 11.8 25.6 18.7 2.6 0.0 6.9 11.5 13.6 0.0 0.0 0.0 0.039 -3.8 -0.7 -4.5 0.0
Bol Bol 25 PHO PF 8 0.0 49.0 18.4 0.647 0.421 0.316 9.3 17.7 13.6 3.4 0.0 3.8 12.2 22.2 0.1 0.0 0.1 0.086 1.8 -2.9 -1.1 0.0
Karlo MatkoviÄ 23 NOP PF 6 0.0 45.0 12.6 0.5 0.125 0.0 16.1 17.9 17.0 3.0 4.3 6.3 33.3 11.2 0.0 0.1 0.0 0.023 -5.1 0.0 -5.1 0.0
Tyler Smith 20 MIL PF 11 0.0 38.0 18.7 0.739 0.571 0.143 2.9 24.8 14.2 4.2 0.0 7.5 16.8 20.6 0.0 0.1 0.1 0.122 1.5 1.7 3.2 0.1
Vlatko ÄanÄar 27 DEN PF 4 0.0 34.0 7.7 0.643 0.286 0.0 10.0 15.5 12.8 0.0 0.0 2.6 22.2 11.2 0.0 0.0 0.0 0.033 -5.2 -1.9 -7.1 0.0
JT Thor 22 CLE PF 7 0.0 33.0 30.9 0.902 0.333 0.667 10.2 9.7 10.0 0.0 2.9 8.2 20.5 25.4 0.1 0.1 0.2 0.281 5.9 2.7 8.6 0.1
E.J. Liddell 24 CHI PF 6 0.0 31.0 15.4 0.845 0.75 0.25 3.4 13.4 8.4 13.1 1.5 2.8 18.4 14.6 0.1 0.0 0.1 0.171 0.0 0.7 0.7 0.0
Markieff Morris 35 DAL PF 5 0.0 25.0 3.9 0.357 0.5 0.0 0.0 25.2 12.9 16.6 0.0 3.6 12.5 27.2 -0.1 0.0 -0.1 -0.145 -6.1 -1.7 -7.9 0.0
James Johnson 37 IND PF 6 0.0 23.0 5.5 0.538 0.143 0.143 0.0 19.3 9.8 18.1 0.0 8.1 35.0 21.6 -0.1 0.0 -0.1 -0.134 -7.1 1.5 -5.7 0.0
Jack McVeigh 28 HOU PF 6 0.0 21.0 4.5 0.364 0.727 0.0 4.9 15.3 10.0 6.6 0.0 4.4 8.3 23.5 -0.1 0.0 0.0 -0.061 -5.1 -2.7 -7.8 0.0
Ulrich Chomche 19 TOR PF 5 0.0 19.0 3.9 0.667 0.0 0.0 11.5 11.7 11.6 6.9 0.0 0.0 40.0 11.0 0.0 0.0 0.0 -0.042 -7.4 -3.1 -10.5 0.0
Oscar Tshiebwe 25 UTA PF 1 0.0 16.0 18.1 0.852 21.0 40.5 30.9 0.0 6.0 0.0 36.2 7.2 0.0 0.0 0.1 0.212 -3.4 2.9 -0.5 0.0  
Mouhamed Gueye 22 ATL PF 2 0.0 11.0 -5.7 0.25 0.5 0.0 0.0 20.0 9.8 0.0 0.0 0.0 20.0 18.5 -0.1 0.0 -0.1 -0.275 -10.8 -4.6 -15.5 0.0
Quinten Post 24 GSW PF 2 0.0 5.0 12.6 0.333 0.667 0.0 20.4 0.0 10.5 30.5 0.0 0.0 0.0 25.1 0.0 0.0 0.0 0.007 1.4 -0.8 0.7 0.0
Pete Nance 24 PHI PF 1 0.0 3.0 29.3 1.5 1.0 0.0 0.0 40.6 19.3 0.0 0.0 0.0 0.0 14.7 0.0 0.0 0.0 0.274 4.2 8.0 12.2 0.0
Alex Reese 25 OKC PF 1 0.0 2.0 54.8 1.0 0.0 0.0 53.6 0.0 26.5 0.0 0.0 0.0 0.0 21.4 0.0 0.0 0.0 0.606 22.8 -3.8 19.0 0.0
