Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Cam Whitmore 20 HOU SF 19 0.0 281.0 15.9 0.518 0.444 0.194 4.8 14.1 9.3 5.2 1.9 1.0 6.5 27.2 0.2 0.4 0.6 0.103 1.0 -0.7 0.3 0.2
Caleb Houstan 22 ORL SF 26 4.0 256.0 6.4 0.515 0.873 0.111 2.2 6.2 4.1 4.4 1.2 1.1 5.7 11.9 0.1 0.3 0.4 0.069 -4.0 -0.4 -4.4 -0.2
Jabari Walker 22 POR SF 25 1.0 253.0 11.1 0.506 0.289 0.237 8.9 22.9 15.8 7.3 1.5 1.1 13.4 16.0 0.0 0.2 0.2 0.039 -3.3 -1.2 -4.5 -0.2
Jamal Cain 25 NOP SF 16 0.0 225.0 11.7 0.556 0.509 0.291 6.9 15.3 10.9 6.2 1.7 2.9 10.1 12.9 0.2 0.1 0.3 0.06 -2.2 -0.2 -2.4 0.0
Doug McDermott 33 SAC SF 25 3.0 218.0 9.3 0.605 0.863 0.068 1.0 7.2 4.1 2.5 0.9 0.5 5.1 15.6 0.2 0.1 0.3 0.067 -1.6 -2.3 -3.9 -0.1
Max Strus 28 CLE SF 9 0.0 210.0 12.1 0.603 0.817 0.05 4.8 11.7 8.4 16.9 0.7 1.3 14.0 14.6 0.4 0.2 0.5 0.122 1.0 -0.5 0.5 0.1
Dillon Jones 23 OKC SF 26 0.0 210.0 6.3 0.4 0.59 0.197 8.2 15.0 11.6 10.1 0.9 1.0 12.0 15.3 -0.2 0.3 0.1 0.033 -5.1 -1.1 -6.2 -0.2
Jae'Sean Tate 29 HOU SF 20 0.0 205.0 13.5 0.567 0.286 0.446 8.0 15.7 11.8 9.4 2.8 0.4 10.7 15.1 0.3 0.4 0.7 0.161 -2.6 2.0 -0.6 0.1
Svi Mykhailiuk 27 UTA SF 11 5.0 187.0 11.0 0.557 0.75 0.118 0.6 10.4 5.6 13.0 2.8 1.0 17.5 21.7 -0.1 0.1 0.0 -0.002 -2.1 -0.3 -2.5 0.0
Josh Minott 22 MIN SF 23 0.0 172.0 15.3 0.595 0.444 0.167 4.0 14.6 9.4 11.7 2.9 4.4 10.8 16.5 0.2 0.3 0.5 0.148 -1.5 3.4 1.9 0.2
