Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Paul Reed 25 DET C 21 0.0 231.0 20.9 0.64 0.221 0.338 7.3 15.9 11.6 13.2 5.5 5.4 13.3 16.7 0.5 0.5 1.0 0.211 0.4 5.1 5.5 0.4
Dwight Powell 33 DAL C 30 0.0 228.0 15.3 0.784 0.059 1.647 10.2 16.6 13.5 11.2 2.1 5.8 19.3 6.8 0.6 0.4 1.0 0.201 -0.3 3.4 3.1 0.3
Kelly Olynyk 33 TOR C 15 1.0 222.0 13.7 0.592 0.352 0.324 6.9 20.1 13.5 17.5 2.6 1.3 21.3 19.4 0.1 0.2 0.3 0.061 -1.7 0.4 -1.3 0.0
Micah Potter 26 UTA C 13 3.0 217.0 8.4 0.546 0.816 0.026 7.8 18.4 13.2 8.0 0.7 2.2 20.6 9.4 0.1 0.1 0.1 0.03 -2.1 -0.3 -2.4 0.0
Alex Len 31 SAC C 29 3.0 211.0 14.0 0.55 0.108 0.297 10.6 18.7 14.6 15.1 1.1 7.5 16.1 10.1 0.3 0.3 0.6 0.135 -1.6 2.2 0.6 0.1
Christian Koloko 24 LAL C 21 0.0 201.0 12.1 0.612 0.057 0.114 13.5 16.1 14.8 4.7 1.5 3.6 16.0 9.6 0.3 0.2 0.4 0.107 -3.4 -0.5 -3.9 -0.1
Robert Williams 27 POR C 12 1.0 198.0 23.0 0.764 0.065 0.283 10.3 23.1 16.5 9.0 2.2 9.5 14.8 12.8 0.6 0.3 0.9 0.207 2.0 2.8 4.8 0.3
Jock Landale 29 HOU C 20 0.0 183.0 12.4 0.469 0.132 0.377 12.9 17.6 15.2 11.1 0.8 3.5 13.9 16.2 0.1 0.3 0.3 0.09 -2.3 0.1 -2.3 0.0
Kai Jones 24 LAC C 23 0.0 183.0 14.4 0.723 0.067 0.4 8.5 16.5 12.4 7.7 1.6 6.5 20.3 10.4 0.3 0.3 0.6 0.157 -2.2 2.4 0.2 0.1
Dario Å ariÄ 30 DEN C 12 4.0 173.0 5.5 0.389 0.48 0.12 7.8 18.9 13.6 11.7 1.9 0.5 21.0 16.2 -0.3 0.2 -0.1 -0.042 -6.0 -0.4 -6.4 -0.2
Trey Jemison 25 NOP C 16 0.0 166.0 9.6 0.461 0.0 0.656 13.7 15.2 14.4 8.2 2.1 3.4 19.5 13.0 -0.1 0.1 0.0 0.009 -5.7 -0.6 -6.3 -0.2
Taj Gibson 39 CHO C 15 8.0 159.0 10.8 0.506 0.059 0.235 13.7 16.7 15.1 6.4 1.9 2.5 19.3 12.3 0.0 0.2 0.2 0.06 -4.1 0.3 -3.8 -0.1
Adem Bona 21 PHI C 20 0.0 148.0 11.5 0.67 0.0 0.95 8.9 23.8 16.0 4.8 0.3 9.0 26.1 11.4 0.1 0.2 0.3 0.101 -5.6 0.9 -4.7 -0.1
Bruno Fernando 26 TOR C 17 2.0 147.0 15.6 0.552 0.0 0.163 15.7 22.8 19.2 17.7 1.3 5.9 21.0 18.9 0.1 0.1 0.2 0.066 -2.6 1.6 -0.9 0.0
Ariel Hukporti 22 NYK C 12 0.0 99.0 7.2 0.628 0.0 0.571 4.8 20.2 12.7 7.5 0.0 7.7 36.3 12.2 -0.1 0.1 0.0 0.009 -6.7 1.2 -5.5 -0.1
Duop Reath 28 POR C 16 0.0 94.0 12.6 0.559 0.706 0.176 9.1 9.5 9.3 6.2 0.0 2.0 2.7 16.7 0.2 0.0 0.2 0.092 0.9 -2.9 -2.0 0.0
Isaiah Jackson 23 IND C 5 1.0 84.0 18.7 0.6 0.0 0.609 15.1 22.5 18.8 8.2 1.7 8.8 14.6 17.6 0.1 0.1 0.3 0.146 -0.9 1.4 0.5 0.1
Orlando Robinson 24 SAC C 9 0.0 57.0 12.3 0.473 0.294 0.412 5.9 21.7 13.8 20.8 2.6 1.7 16.6 18.1 0.0 0.1 0.1 0.056 -4.0 1.0 -3.0 0.0
Luka Garza 26 MIN C 10 0.0 50.0 21.9 0.639 0.296 0.296 9.1 15.2 12.2 4.1 1.0 0.0 8.9 29.3 0.1 0.1 0.1 0.133 0.7 -1.5 -0.9 0.0
Moses Brown 25 IND C 9 0.0 46.0 16.6 0.653 0.0 0.25 10.0 21.7 16.0 0.0 2.1 2.0 21.3 26.6 0.0 0.0 0.0 0.014 -3.8 -1.8 -5.7 0.0
Colin Castleton 24 MEM C 10 0.0 46.0 7.3 0.472 0.4 1.1 7.0 13.2 10.2 0.0 1.0 2.0 6.3 13.6 0.0 0.1 0.1 0.085 -6.1 -1.1 -7.3 -0.1
Liam Robbins 25 MIL C 9 0.0 42.0 4.1 0.347 0.167 1.0 13.3 12.5 12.9 5.9 1.1 2.2 25.8 12.1 -0.1 0.0 0.0 -0.027 -7.7 -1.5 -9.2 -0.1
Branden Carlson 25 OKC C 7 0.0 25.0 7.5 0.225 0.75 0.25 12.9 25.1 19.1 14.0 1.9 4.1 10.1 16.9 -0.1 0.1 0.0 -0.01 -6.6 -0.9 -7.5 0.0
Adama Sanogo 22 CHI C 4 0.0 21.0 15.3 0.571 0.0 0.0 25.2 4.9 15.0 6.7 0.0 0.0 12.5 15.9 0.0 0.0 0.0 0.101 1.0 -3.6 -2.6 0.0
PJ Hall 22 DEN C 6 0.0 14.0 6.2 0.4 0.4 0.0 0.0 22.6 11.7 0.0 0.0 6.4 0.0 15.1 0.0 0.0 0.0 -0.024 -8.4 -2.4 -10.9 0.0
Tristan Vukcevic 21 WAS C 3 0.0 7.0 2.9 0.25 0.75 0.0 14.9 0.0 7.5 0.0 0.0 13.0 0.0 23.7 0.0 0.0 0.0 -0.208 -11.6 -4.8 -16.5 0.0
James Wiseman 23 IND C 1 0.0 5.0 32.1 0.615 0.25 0.5 0.0 22.2 11.3 0.0 0.0 0.0 0.0 42.3 0.0 0.0 0.0 0.238 5.9 -5.0 0.9 0.0
