Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Jordan Hawkins 22 NOP SG 22 3.0 506.0 8.5 0.471 0.58 0.195 1.6 11.6 6.4 6.5 0.8 2.2 7.9 22.2 -0.4 0.0 -0.4 -0.041 -3.2 -3.7 -6.9 -0.6
Isaac Okoro 24 CLE SG 25 16.0 503.0 11.6 0.613 0.588 0.184 4.9 6.8 5.9 10.0 1.7 1.8 6.8 11.3 0.9 0.5 1.4 0.138 -0.2 0.8 0.6 0.3
Moses Moody 22 GSW SG 30 4.0 479.0 12.2 0.59 0.611 0.227 2.5 9.3 5.8 7.6 1.3 1.2 10.2 19.8 0.4 0.4 0.8 0.079 -0.9 -0.7 -1.6 0.0
Jaden Hardy 22 DAL SG 30 3.0 477.0 10.8 0.557 0.471 0.186 1.4 8.8 5.2 12.1 1.8 0.9 16.3 23.5 -0.2 0.4 0.2 0.018 -2.8 -1.1 -4.0 -0.2
Ben Sheppard 23 IND SG 24 6.0 477.0 8.2 0.556 0.716 0.034 3.9 10.9 7.5 6.3 1.1 1.4 6.4 11.4 0.3 0.2 0.5 0.055 -2.4 -0.7 -3.1 -0.1
Dalen Terry 22 CHI SG 34 1.0 454.0 8.0 0.569 0.373 0.353 4.4 7.3 5.9 10.0 1.8 1.5 20.8 13.7 0.0 0.2 0.2 0.023 -4.6 -0.4 -5.0 -0.3
Ja'Kobe Walter 20 TOR SG 23 7.0 451.0 8.9 0.492 0.491 0.218 4.9 9.4 7.1 10.4 1.3 1.3 10.4 18.7 -0.1 0.1 0.0 -0.004 -3.3 -2.0 -5.3 -0.4
Bogdan BogdanoviÄ 32 ATL SG 17 0.0 436.0 10.2 0.564 0.663 0.131 2.4 9.8 6.0 12.5 1.8 0.9 14.6 18.5 0.1 0.2 0.3 0.032 -2.4 -0.5 -2.9 -0.1
Cody Williams 20 UTA SG 21 8.0 417.0 3.9 0.405 0.523 0.209 2.7 9.6 6.2 7.9 1.3 1.8 14.6 11.1 -0.4 0.1 -0.3 -0.036 -5.7 -0.6 -6.3 -0.5
Seth Curry 34 CHO SG 30 8.0 415.0 11.4 0.597 0.528 0.12 3.0 8.3 5.5 5.6 1.7 1.2 7.1 14.4 0.5 0.3 0.8 0.09 -1.7 0.0 -1.7 0.0
